team_a,team_b,round,ml_a,ml_b,spread_a,total
Duke,Siena,Round of 64,-3000,1500,-22.5,155.0
Ohio State,TCU,Round of 64,-118,100,-1.0,147.0
St. John's,Northern Iowa,Round of 64,-230,190,-5.0,150.5
Kansas,Cal Baptist,Round of 64,-370,295,-7.5,148.0
Louisville,South Florida,Round of 64,-165,140,-3.0,148.5
Michigan State,North Dakota State,Round of 64,-560,420,-11.5,143.5
UCLA,UCF,Round of 64,-148,122,-2.5,149.5
UConn,Furman,Round of 64,-950,680,-15.5,148.0
Arizona,LIU,Round of 64,-2800,1400,-22.0,152.5
Villanova,Utah State,Round of 64,-118,100,-1.0,145.0
Wisconsin,High Point,Round of 64,-230,190,-5.5,149.0
Arkansas,Hawaii,Round of 64,-380,305,-7.5,150.5
BYU,NC State,Round of 64,-160,132,-2.5,148.0
Gonzaga,Kennesaw State,Round of 64,-545,415,-11.0,149.0
Miami FL,Missouri,Round of 64,-148,122,-2.5,148.5
Purdue,Queens,Round of 64,-900,650,-15.0,145.5
Michigan,UMBC,Round of 64,-3000,1500,-23.0,152.0
Georgia,St. Louis,Round of 64,-118,100,-1.0,144.5
Texas Tech,Akron,Round of 64,-235,195,-5.5,147.5
Alabama,Hofstra,Round of 64,-390,310,-8.0,149.0
Tennessee,Miami OH,Round of 64,-168,138,-3.0,147.5
Virginia,Wright State,Round of 64,-525,400,-11.0,142.0
Kentucky,Santa Clara,Round of 64,-148,122,-2.5,147.0
Iowa State,Tennessee State,Round of 64,-950,680,-15.5,146.5
Florida,Lehigh,Round of 64,-2500,1200,-21.5,152.0
Clemson,Iowa,Round of 64,-115,-105,-0.5,145.5
Vanderbilt,McNeese,Round of 64,-218,182,-4.5,148.5
Nebraska,Troy,Round of 64,-375,295,-7.5,149.0
North Carolina,VCU,Round of 64,-162,135,-2.5,151.5
Illinois,Penn,Round of 64,-545,415,-11.5,152.0
Saint Mary's,Texas A&M,Round of 64,-148,122,-2.5,146.0
Houston,Idaho,Round of 64,-900,650,-15.5,147.5
