team,seed,region,adj_o,adj_d,adj_tempo,barthag,wab,efg_pct,to_pct,orb_pct,ft_rate,efg_d_pct,to_d_pct,drb_pct,ft_rate_d,wins,losses,sos,conf
Duke,1,East,133.1,90.8,73.6,0.99,4.2,0.583,0.179,0.268,0.358,0.468,0.238,0.755,0.348,32,2,9.82,ACC
UConn,2,East,127.4,93.2,66.8,0.99,3.5,0.568,0.175,0.272,0.325,0.472,0.228,0.748,0.332,29,5,11.45,Big East
Michigan State,3,East,127.2,95.0,67.5,0.99,2.8,0.534,0.158,0.302,0.312,0.515,0.221,0.756,0.305,25,7,10.82,Big Ten
Kansas,4,East,125.8,97.2,65.8,0.985,1.8,0.545,0.198,0.332,0.385,0.468,0.202,0.689,0.275,23,10,11.85,Big 12
St. John's,5,East,126.5,96.2,67.2,0.985,2.2,0.572,0.158,0.268,0.415,0.462,0.185,0.702,0.268,28,6,9.12,Big East
Louisville,6,East,122.5,101.2,71.5,0.958,0.2,0.508,0.192,0.338,0.392,0.522,0.215,0.688,0.295,23,10,7.42,ACC
UCLA,7,East,124.5,97.5,71.5,0.968,1.2,0.558,0.148,0.338,0.305,0.528,0.220,0.742,0.362,23,11,11.98,Big Ten
Ohio State,8,East,122.0,101.5,70.2,0.952,-0.2,0.542,0.168,0.295,0.332,0.512,0.188,0.726,0.318,21,12,10.15,Big Ten
TCU,9,East,121.5,101.8,68.2,0.942,-0.5,0.538,0.182,0.318,0.328,0.518,0.192,0.698,0.285,22,11,9.25,Big 12
UCF,10,East,120.8,102.5,67.5,0.932,-1.2,0.548,0.175,0.295,0.312,0.482,0.198,0.712,0.302,21,11,7.85,AAC
South Florida,11,East,120.5,100.2,70.1,0.942,-0.8,0.548,0.178,0.308,0.375,0.545,0.222,0.715,0.365,25,8,7.25,AAC
Northern Iowa,12,East,119.5,102.8,66.2,0.908,-1.5,0.528,0.188,0.285,0.322,0.498,0.195,0.748,0.298,23,12,3.85,Missouri Valley
Cal Baptist,13,East,118.5,103.5,68.0,0.868,-2.0,0.512,0.192,0.272,0.358,0.508,0.202,0.738,0.315,25,8,2.15,WAC
North Dakota State,14,East,117.8,104.2,66.8,0.858,-2.5,0.518,0.178,0.268,0.375,0.495,0.188,0.755,0.282,27,7,1.85,Summit
Furman,15,East,117.0,105.0,67.5,0.818,-3.5,0.495,0.202,0.285,0.352,0.518,0.175,0.712,0.322,22,12,2.25,SoCon
Siena,16,East,116.2,105.8,69.2,0.778,-4.8,0.502,0.172,0.328,0.405,0.548,0.218,0.778,0.412,23,11,-2.55,MAAC
Arizona,1,West,131.5,91.5,68.5,0.99,4.0,0.568,0.172,0.285,0.345,0.465,0.235,0.752,0.375,32,2,12.82,Big 12
Purdue,2,West,126.2,94.5,70.2,0.99,2.8,0.548,0.198,0.312,0.348,0.475,0.188,0.735,0.308,27,8,10.55,Big Ten
Gonzaga,3,West,127.2,95.8,70.5,0.985,2.2,0.512,0.198,0.265,0.402,0.525,0.235,0.762,0.368,30,3,9.92,WCC
Arkansas,4,West,125.2,97.5,71.2,0.978,1.5,0.542,0.198,0.315,0.415,0.512,0.198,0.762,0.258,26,8,7.65,SEC
Wisconsin,5,West,127.5,96.2,72.5,0.978,2.0,0.548,0.155,0.345,0.308,0.458,0.195,0.778,0.378,24,10,11.18,Big Ten
BYU,6,West,126.5,97.5,71.5,0.972,1.8,0.548,0.182,0.282,0.315,0.498,0.192,0.708,0.312,23,11,8.52,Big 12
Miami FL,7,West,123.5,99.5,70.0,0.962,0.8,0.545,0.178,0.312,0.355,0.518,0.198,0.728,0.335,25,8,9.82,ACC
Villanova,8,West,122.2,101.5,67.5,0.948,-0.3,0.538,0.175,0.285,0.312,0.495,0.202,0.738,0.328,24,8,9.15,Big East
Utah State,9,West,122.5,100.2,70.2,0.962,1.2,0.552,0.168,0.328,0.345,0.488,0.205,0.745,0.318,28,6,5.25,Mountain West
Missouri,10,West,120.5,102.2,71.5,0.925,-2.2,0.538,0.165,0.348,0.382,0.538,0.170,0.768,0.352,20,12,8.85,SEC
NC State,11,West,120.5,98.9,65.5,0.932,-1.2,0.552,0.205,0.322,0.395,0.472,0.172,0.742,0.388,20,13,7.85,ACC
High Point,12,West,119.8,103.5,68.5,0.885,-1.8,0.548,0.195,0.312,0.338,0.508,0.208,0.742,0.302,30,4,1.25,Big South
Hawaii,13,West,118.2,104.5,71.2,0.845,-2.8,0.532,0.185,0.318,0.328,0.478,0.195,0.748,0.315,24,8,2.85,Big West
Kennesaw State,14,West,117.5,105.2,69.5,0.815,-3.2,0.512,0.188,0.302,0.368,0.498,0.185,0.738,0.295,21,13,-0.25,ASUN
Queens,15,West,116.8,105.8,68.2,0.785,-4.2,0.508,0.192,0.295,0.352,0.515,0.178,0.728,0.312,21,13,0.15,Big South
LIU,16,West,116.5,106.5,70.5,0.745,-5.2,0.522,0.165,0.278,0.308,0.545,0.195,0.755,0.322,24,10,-2.85,NEC
Michigan,1,Midwest,130.5,90.5,67.5,0.99,3.8,0.552,0.168,0.292,0.342,0.508,0.228,0.725,0.292,31,3,11.52,Big Ten
Iowa State,2,Midwest,127.0,93.5,71.2,0.99,3.2,0.545,0.195,0.272,0.288,0.458,0.218,0.728,0.275,27,7,10.25,Big 12
Virginia,3,Midwest,125.5,95.5,66.8,0.985,2.5,0.518,0.158,0.285,0.345,0.508,0.205,0.722,0.322,29,5,9.75,ACC
Alabama,4,Midwest,126.2,97.8,71.2,0.978,1.8,0.558,0.155,0.258,0.345,0.468,0.195,0.768,0.285,23,9,8.52,SEC
Texas Tech,5,Midwest,123.8,98.5,70.2,0.968,1.2,0.548,0.178,0.295,0.328,0.498,0.212,0.738,0.308,22,10,9.82,Big 12
Tennessee,6,Midwest,124.2,98.2,70.5,0.965,0.8,0.542,0.142,0.265,0.418,0.522,0.215,0.708,0.388,22,11,12.45,SEC
Kentucky,7,Midwest,122.5,99.5,66.2,0.955,0.5,0.538,0.148,0.265,0.365,0.468,0.228,0.738,0.305,21,13,9.85,SEC
Georgia,8,Midwest,124.5,98.8,65.5,0.962,-0.2,0.538,0.172,0.282,0.412,0.525,0.170,0.780,0.385,22,10,7.85,SEC
St. Louis,9,Midwest,121.5,101.8,66.5,0.948,0.5,0.548,0.175,0.305,0.358,0.498,0.195,0.742,0.325,28,5,4.85,A-10
Santa Clara,10,Midwest,121.0,102.5,68.5,0.938,0.2,0.545,0.182,0.318,0.345,0.488,0.202,0.738,0.312,26,8,5.25,WCC
Miami OH,11,Midwest,120.8,100.5,70.5,0.948,-0.5,0.548,0.185,0.325,0.378,0.508,0.208,0.728,0.305,31,1,-0.85,MAC
Akron,12,Midwest,121.0,102.2,68.5,0.928,-1.0,0.528,0.192,0.288,0.342,0.545,0.208,0.735,0.312,29,5,3.45,MAC
Hofstra,13,Midwest,120.1,104.5,66.3,0.885,-2.5,0.538,0.168,0.258,0.365,0.498,0.202,0.768,0.278,24,10,5.85,CAA
Wright State,14,Midwest,118.5,104.8,70.5,0.845,-2.8,0.525,0.195,0.278,0.375,0.498,0.188,0.742,0.292,23,11,-0.85,Horizon
